Campaign_ID,Campaign_Name,Channel,Campaign_Date,Impressions,Clicks,Spend
1001,LungStrong,Google,27/04/2025,NULL,NULL,34352
1002,LungStrong,Google,05/12/2025,NULL,NULL,27183
1003,HeartAware,YouTube,26/03/2025,NULL,NULL,28958
1004,Diabetes Plus,YouTube,29/03/2025,NULL,NULL,24973
1005,Diabetes Plus,YouTube,16/07/2025,NULL,NULL,23291
1006,LungStrong,YouTube,24/12/2025,NULL,NULL,30324
1007,LungStrong,Google,20/06/2025,NULL,NULL,7254
1008,LungStrong,Google,09/07/2025,NULL,NULL,6120
1009,LungStrong,LinkedIn,15/01/2025,NULL,NULL,17871
1010,HeartAware,YouTube,22/02/2025,NULL,NULL,16682
1011,LungStrong,LinkedIn,16/10/2025,NULL,NULL,34998
1012,LungStrong,Google,12/10/2025,NULL,NULL,5473
1013,LungStrong,Google,24/05/2025,NULL,NULL,34906
1014,CancerCare,YouTube,21/04/2025,NULL,NULL,16030
1015,HeartAware,YouTube,15/05/2025,NULL,NULL,28874
1016,LungStrong,Facebook,20/03/2025,NULL,NULL,13861
1017,LungStrong,LinkedIn,27/02/2025,NULL,NULL,14623
1018,LungStrong,YouTube,31/10/2025,NULL,NULL,27374
1019,HeartAware,YouTube,12/12/2025,NULL,NULL,12970
1020,CancerCare,YouTube,04/01/2025,NULL,NULL,27848
1021,LungStrong,Facebook,10/03/2025,NULL,NULL,32623
1022,HeartAware,YouTube,07/01/2025,NULL,NULL,13390
1023,Diabetes Plus,Google,27/07/2025,NULL,NULL,32696
1024,LungStrong,Facebook,18/07/2025,NULL,NULL,8186
1025,Diabetes Plus,YouTube,07/11/2025,NULL,NULL,7459
1026,HeartAware,Facebook,11/08/2025,NULL,NULL,11361
1027,LungStrong,Google,06/07/2025,NULL,NULL,31690
1028,HeartAware,Facebook,02/08/2025,NULL,NULL,17694
1029,HeartAware,Facebook,11/02/2025,NULL,NULL,7233
1030,Diabetes Plus,YouTube,28/08/2025,NULL,NULL,34312
1031,LungStrong,Google,14/09/2025,NULL,NULL,27769
1032,LungStrong,YouTube,10/12/2025,NULL,NULL,10553
1033,HeartAware,LinkedIn,07/07/2025,NULL,NULL,8210
1034,LungStrong,YouTube,13/01/2025,NULL,NULL,6099
1035,CancerCare,YouTube,30/01/2025,NULL,NULL,26327
1036,LungStrong,Google,30/08/2025,NULL,NULL,7641
1037,LungStrong,Google,28/11/2025,NULL,NULL,12709
1038,LungStrong,Google,07/09/2025,NULL,NULL,16578
1039,HeartAware,YouTube,07/12/2025,NULL,NULL,25253
1040,HeartAware,Facebook,09/08/2025,NULL,NULL,11544
1041,HeartAware,Google,13/02/2025,NULL,NULL,31229
1042,HeartAware,LinkedIn,13/03/2025,NULL,NULL,21197
1043,LungStrong,Google,10/07/2025,NULL,NULL,19203
1044,Diabetes Plus,YouTube,09/06/2025,NULL,NULL,8653
1045,HeartAware,Google,10/04/2025,NULL,NULL,18029
1046,HeartAware,YouTube,02/12/2025,NULL,NULL,33616
1047,LungStrong,Google,02/11/2025,NULL,NULL,24897
1048,HeartAware,Google,13/08/2025,NULL,NULL,11483
1049,LungStrong,Google,13/02/2025,NULL,NULL,21007
1050,CancerCare,Google,16/10/2025,NULL,NULL,25474
1051,LungStrong,YouTube,05/08/2025,247623,NULL,18889
1052,LungStrong,YouTube,12/06/2025,249391,NULL,33065
1053,HeartAware,Google,28/06/2025,59627,NULL,31854
1054,LungStrong,YouTube,22/02/2025,197324,NULL,19975
1055,LungStrong,YouTube,05/03/2025,207558,NULL,15470
1056,HeartAware,YouTube,06/07/2025,195672,NULL,20833
1057,CancerCare,YouTube,15/10/2025,231952,NULL,5432
1058,LungStrong,YouTube,29/11/2025,223028,NULL,26720
1059,Diabetes Plus,YouTube,25/05/2025,75998,NULL,20591
1060,LungStrong,YouTube,13/05/2025,105660,NULL,20667
1061,Diabetes Plus,Google,05/02/2025,227782,NULL,16771
1062,LungStrong,Google,27/05/2025,209985,NULL,33189
1063,CancerCare,Google,01/10/2025,69926,NULL,12594
1064,CancerCare,YouTube,20/11/2025,107132,NULL,15725
1065,LungStrong,Google,26/06/2025,109256,NULL,7892
1066,LungStrong,YouTube,28/02/2025,207165,NULL,34404
1067,LungStrong,Google,16/04/2025,236176,NULL,21366
1068,Diabetes Plus,YouTube,05/11/2025,216957,NULL,34931
1069,Diabetes Plus,YouTube,13/08/2025,220898,NULL,15131
1070,LungStrong,YouTube,29/03/2025,227919,NULL,5270
1071,LungStrong,Google,13/04/2025,64937,NULL,28768
1072,HeartAware,YouTube,31/10/2025,131549,NULL,15030
1073,HeartAware,YouTube,28/06/2025,189003,NULL,26268
1074,HeartAware,Google,09/10/2025,91203,NULL,10307
1075,CancerCare,YouTube,29/04/2025,131303,NULL,17186
1076,LungStrong,LinkedIn,08/07/2025,116014,NULL,25708
1077,HeartAware,YouTube,21/11/2025,52513,NULL,17348
1078,LungStrong,LinkedIn,28/11/2025,176158,NULL,15394
1079,CancerCare,Google,10/05/2025,115616,NULL,20425
1080,HeartAware,YouTube,11/03/2025,110189,NULL,22839
1081,HeartAware,Google,22/06/2025,108915,NULL,29291
1082,Diabetes Plus,YouTube,01/10/2025,71861,NULL,20367
1083,HeartAware,LinkedIn,17/09/2025,209885,NULL,28670
1084,Diabetes Plus,Facebook,11/01/2025,248907,NULL,26350
1085,CancerCare,YouTube,19/10/2025,145251,NULL,22807
1086,LungStrong,YouTube,27/12/2025,231746,NULL,29828
1087,LungStrong,YouTube,11/06/2025,133878,NULL,10154
1088,CancerCare,Facebook,21/06/2025,193942,NULL,27517
1089,Diabetes Plus,YouTube,09/11/2025,50521,NULL,13713
1090,LungStrong,Facebook,03/04/2025,241610,NULL,34243
1091,LungStrong,Facebook,10/02/2025,77442,NULL,33536
1092,HeartAware,YouTube,25/06/2025,88413,NULL,5784
1093,LungStrong,YouTube,13/11/2025,122582,NULL,26927
1094,LungStrong,YouTube,10/02/2025,215944,NULL,18982
1095,HeartAware,YouTube,16/10/2025,130193,NULL,9887
1096,CancerCare,Google,25/06/2025,74547,NULL,24465
1097,LungStrong,YouTube,26/12/2025,235639,NULL,29389
1098,CancerCare,Google,03/08/2025,84929,NULL,33507
1099,LungStrong,Facebook,30/08/2025,168663,NULL,32529
1100,CancerCare,YouTube,17/06/2025,57529,NULL,14365
1101,Diabetes Plus,YouTube,07/01/2025,64668,1747,20899
1102,LungStrong,YouTube,21/01/2025,60518,6993,15236
1103,CancerCare,Facebook,14/07/2025,76908,5454,28686
1104,LungStrong,YouTube,01/05/2025,91894,2871,22900
1105,LungStrong,Google,23/02/2025,160256,2823,24169
1106,LungStrong,Google,10/08/2025,123215,7023,12425
1107,CancerCare,YouTube,11/09/2025,123616,2638,18028
1108,HeartAware,YouTube,24/02/2025,182367,5822,15627
1109,LungStrong,Facebook,11/04/2025,106109,5834,17642
1110,Diabetes Plus,YouTube,13/05/2025,177643,1298,31253
1111,Diabetes Plus,YouTube,27/12/2025,79510,4436,30596
1112,LungStrong,YouTube,12/04/2025,87082,3649,11154
1113,LungStrong,YouTube,28/08/2025,224280,6025,10958
1114,LungStrong,YouTube,21/05/2025,139650,1024,12790
1115,HeartAware,Google,02/09/2025,155665,1022,32244
1116,CancerCare,YouTube,10/11/2025,99107,7078,32885
1117,Diabetes Plus,Google,17/11/2025,69604,2953,21230
1118,CancerCare,LinkedIn,02/09/2025,201706,4349,8191
1119,Diabetes Plus,LinkedIn,15/03/2025,62904,4530,13085
1120,LungStrong,Google,04/01/2025,243024,4135,14460
1121,Diabetes Plus,YouTube,06/10/2025,126245,3734,28527
1122,HeartAware,LinkedIn,05/12/2025,165439,6239,18159
1001,LungStrong,Google,27/04/2025,NULL,NULL,34352
1002,LungStrong,Google,05/12/2025,NULL,NULL,27183
1003,HeartAware,YouTube,26/03/2025,NULL,NULL,28958
1004,Diabetes Plus,YouTube,29/03/2025,NULL,NULL,24973
1005,Diabetes Plus,YouTube,16/07/2025,NULL,NULL,23291
1006,LungStrong,YouTube,24/12/2025,NULL,NULL,30324
1007,LungStrong,Google,20/06/2025,NULL,NULL,7254
1008,LungStrong,Google,09/07/2025,NULL,NULL,6120
1009,LungStrong,LinkedIn,15/01/2025,NULL,NULL,17871
1010,HeartAware,YouTube,22/02/2025,NULL,NULL,16682
1011,LungStrong,LinkedIn,16/10/2025,NULL,NULL,34998
1012,LungStrong,Google,12/10/2025,NULL,NULL,5473
1013,LungStrong,Google,24/05/2025,NULL,NULL,34906
1014,CancerCare,YouTube,21/04/2025,NULL,NULL,16030
