Spend_ID,Spend_Date,Channel,Spend
1,02/01/2025,Facebook,4497
2,03/01/2025,LinkedIn,4497
3,04/01/2025,Google,3006
4,05/01/2025,YouTube,3542
5,06/01/2025,Facebook,626
6,07/01/2025,Google,5282
7,08/01/2025,LinkedIn,2504
8,09/01/2025,LinkedIn,3878
9,10/01/2025,LinkedIn,3347
10,11/01/2025,Facebook,980
11,12/01/2025,LinkedIn,1003
12,13/01/2025,Facebook,1598
13,14/01/2025,LinkedIn,2991
14,15/01/2025,LinkedIn,4893
15,16/01/2025,LinkedIn,4679
16,17/01/2025,YouTube,1665
17,18/01/2025,LinkedIn,4395
18,19/01/2025,Google,2221
19,20/01/2025,Google,4067
20,21/01/2025,Google,4806
21,22/01/2025,LinkedIn,4074
22,23/01/2025,YouTube,2866
23,24/01/2025,YouTube,4055
24,25/01/2025,Facebook,4133
25,26/01/2025,LinkedIn,4753
26,27/01/2025,Google,915
27,28/01/2025,YouTube,1941
28,29/01/2025,LinkedIn,842
29,30/01/2025,LinkedIn,2564
30,31/01/2025,YouTube,4362
31,01/02/2025,LinkedIn,5043
32,02/02/2025,LinkedIn,5035
33,03/02/2025,Google,4966
34,04/02/2025,LinkedIn,3504
35,05/02/2025,LinkedIn,2366
36,06/02/2025,LinkedIn,4042
37,07/02/2025,Facebook,2086
38,08/02/2025,YouTube,778
39,09/02/2025,YouTube,4295
40,10/02/2025,YouTube,5196
41,11/02/2025,LinkedIn,3106
42,12/02/2025,Google,1379
43,13/02/2025,LinkedIn,1569
44,14/02/2025,LinkedIn,948
45,15/02/2025,LinkedIn,4502
46,16/02/2025,LinkedIn,5115
47,17/02/2025,LinkedIn,2198
48,18/02/2025,Google,4119
49,19/02/2025,Google,3269
50,20/02/2025,LinkedIn,4383
51,21/02/2025,Google,4975
52,22/02/2025,YouTube,1635
53,23/02/2025,LinkedIn,4430
54,24/02/2025,Google,865
55,25/02/2025,Facebook,5266
56,26/02/2025,Google,922
57,27/02/2025,LinkedIn,4987
58,28/02/2025,LinkedIn,3553
59,01/03/2025,LinkedIn,2123
60,02/03/2025,LinkedIn,3508
61,03/03/2025,LinkedIn,2723
62,04/03/2025,Facebook,2992
63,05/03/2025,Google,1633
64,06/03/2025,LinkedIn,5467
65,07/03/2025,LinkedIn,2863
66,08/03/2025,LinkedIn,847
67,09/03/2025,Facebook,1012
68,10/03/2025,LinkedIn,4567
69,11/03/2025,LinkedIn,1118
70,12/03/2025,LinkedIn,2606
71,13/03/2025,LinkedIn,4167
72,14/03/2025,Google,3505
73,15/03/2025,LinkedIn,4155
74,16/03/2025,LinkedIn,3602
75,17/03/2025,YouTube,5482
76,18/03/2025,LinkedIn,3658
77,19/03/2025,LinkedIn,2743
78,20/03/2025,LinkedIn,5024
79,21/03/2025,Facebook,2186
80,22/03/2025,LinkedIn,4287
81,23/03/2025,YouTube,4971
82,24/03/2025,Google,679
83,25/03/2025,Google,3882
84,26/03/2025,LinkedIn,1354
85,27/03/2025,LinkedIn,2431
86,28/03/2025,LinkedIn,2620
87,29/03/2025,LinkedIn,1884
88,30/03/2025,LinkedIn,4904
89,31/03/2025,Google,2378
90,01/04/2025,LinkedIn,1398
91,02/04/2025,LinkedIn,4696
92,03/04/2025,LinkedIn,1725
93,04/04/2025,LinkedIn,5180
94,05/04/2025,Facebook,3583
95,06/04/2025,Facebook,745
96,07/04/2025,LinkedIn,1785
97,08/04/2025,Google,2271
98,09/04/2025,YouTube,4449
99,10/04/2025,Google,2885
100,11/04/2025,Google,2036
101,12/04/2025,Google,4598
102,13/04/2025,YouTube,916
103,14/04/2025,Google,537
104,15/04/2025,YouTube,1348
105,16/04/2025,LinkedIn,1408
106,17/04/2025,Facebook,907
107,18/04/2025,Facebook,3875
108,19/04/2025,LinkedIn,2368
109,20/04/2025,Google,2539
110,21/04/2025,YouTube,564
111,22/04/2025,LinkedIn,1409
112,23/04/2025,LinkedIn,729
113,24/04/2025,Facebook,2913
114,25/04/2025,LinkedIn,1464
115,26/04/2025,YouTube,1410
116,27/04/2025,Google,4864
117,28/04/2025,YouTube,3978
118,29/04/2025,Facebook,2471
119,30/04/2025,LinkedIn,2595
120,01/05/2025,LinkedIn,4742
121,02/05/2025,Facebook,2035
122,03/05/2025,Google,1601
123,02/01/2025,YouTube,1221
124,03/01/2025,Google,4871
125,04/01/2025,LinkedIn,553
126,05/01/2025,Facebook,5249
127,06/01/2025,LinkedIn,2302
128,07/01/2025,YouTube,4277
129,08/01/2025,LinkedIn,5144
130,09/01/2025,LinkedIn,2804
131,10/01/2025,Facebook,2174
132,11/01/2025,Google,2227
133,12/01/2025,LinkedIn,1375
134,13/01/2025,LinkedIn,4024
135,14/01/2025,LinkedIn,1037
136,15/01/2025,Google,3056
137,16/01/2025,Google,1248
